code,province,zone,region,population
AB100,AB,NORTH,JASPER,5592
AB101,AB,NORTH,HINTON,12260
AB102,AB,NORTH,EDSON,16050
AB103,AB,NORTH,WHITECOURT,14719
AB104,AB,NORTH,MAYERTHORPE,16200
AB105,AB,NORTH,BARRHEAD,10948
AB106,AB,NORTH,WESTLOCK,19168
AB107,AB,NORTH,FROG LAKE,4827
AB108,AB,NORTH,ST. PAUL,15522
AB109,AB,NORTH,SMOKY LAKE,4728
AB110,AB,NORTH,COLD LAKE,20716
AB111,AB,NORTH,BONNYVILLE,16602
AB112,AB,NORTH,BOYLE,3544
AB113,AB,NORTH,ATHABASCA,10686
AB114,AB,NORTH,LAC LA BICHE,10392
AB115,AB,NORTH,GRANDE CACHE,4168
AB116,AB,NORTH,FOX CREEK,2241
AB117,AB,NORTH,VALLEYVIEW,7226
AB118,AB,NORTH,BEAVERLODGE,12199
AB119,AB,NORTH,GRANDE PRAIRIE COUNTY,20862
AB120,AB,NORTH,SWAN HILLS,1336
AB121,AB,NORTH,SLAVE LAKE,11676
AB122,AB,NORTH,WABASCA,4238
AB123,AB,NORTH,HIGH PRAIRIE,11613
AB124,AB,NORTH,HIGH LEVEL,25086
AB125,AB,NORTH,MANNING,3290
AB126,AB,NORTH,PEACE RIVER,18611
AB127,AB,NORTH,FALHER,4427
AB128,AB,NORTH,SPIRIT RIVER,6114
AB129,AB,NORTH,FAIRVIEW,8131
AB130,AB,NORTH,WOOD BUFFALO,4062
AB131,AB,NORTH,FORT MCMURRAY,79416
AB132,AB,NORTH,CITY OF GRANDE PRAIRIE,74275
SK1,SK,Far North,Far North West,26743
SK2,SK,Far North,Far North Central,2869
SK3,SK,Far North,Far North East,22098
SK4,SK,North,North West,77156
SK5,SK,North,North Central,85750
SK6,SK,North,North East,39903
SK7,SK,Saskatoon,Saskatoon,342056
SK8,SK,Central,Central West,35999
SK9,SK,Central,Central East,95942
SK10,SK,Regina,Regina,269284
SK11,SK,South,South West,38066
SK12,SK,South,South Central,58807
SK13,SK,South,South East,87378
